TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
3,7,116,1,2,2,0,10,19,7,13,23,23,3,7,3,3,54,53,26,27,0,0,35,13,5,0,0,0,0,53,6,6,4,4,12,5,11,5,25,2,25,0,0,1,53,0,0
3,7,27,0,0,0,0,4,3,10,3,4,3,0,0,0,0,96,96,45,51,0,1,44,40,11,0,0,0,0,96,15,14,12,12,10,11,5,17,34,2,31,0,0,29,96,0,0
3,3,16,0,1,0,0,4,0,3,6,2,0,0,0,0,0,33,29,11,18,0,0,14,7,8,0,0,0,0,29,3,4,5,2,5,2,4,4,24,2,0,0,0,3,29,0,0
1,3,452,0,4,4,4,61,99,101,65,50,38,13,11,2,0,627,603,269,334,0,3,93,231,276,206,9,197,144,253,17,71,70,96,91,109,99,50,577,8,13,3,0,2,595,8,2
3,5,10,0,0,0,3,0,0,3,2,1,1,0,0,0,0,27,21,15,6,0,0,1,14,6,8,0,8,13,0,1,4,4,7,1,1,2,1,5,0,13,0,0,3,21,0,0
3,3,15,0,0,1,1,3,2,2,0,3,3,0,0,0,0,26,26,15,11,0,0,13,13,0,9,0,9,12,5,1,3,4,4,3,3,4,4,16,0,6,4,0,0,26,0,0
3,3,29,0,0,0,3,4,4,5,8,1,2,0,2,0,0,76,72,36,36,0,2,21,29,20,1,0,1,17,54,5,15,12,9,12,7,5,7,64,3,3,2,0,0,72,0,0
2,5,80,0,0,0,0,9,5,18,10,22,11,2,2,1,0,304,304,140,164,0,0,158,109,37,65,1,64,130,109,21,57,50,54,50,27,27,18,294,0,4,3,0,3,304,0,1
1,5,349,1,3,5,4,72,26,103,28,69,14,13,6,4,1,530,521,242,279,0,0,91,246,184,175,0,175,216,130,13,36,55,88,78,81,67,103,494,3,18,4,0,2,516,5,4
1,5,428,1,0,3,4,57,37,119,38,125,26,11,4,2,1,618,618,314,304,0,0,95,343,180,320,0,320,253,45,24,100,118,122,95,76,47,36,572,4,21,4,0,17,616,2,14
1,5,1047,14,18,3,6,184,175,259,157,121,49,35,19,5,2,1072,1029,489,540,0,0,192,504,333,303,0,303,445,281,16,90,153,175,173,162,137,123,1004,10,11,4,0,0,1020,9,7
2,5,109,0,0,0,1,6,10,21,26,5,20,6,7,4,3,246,246,109,137,0,0,81,108,57,36,0,36,131,79,5,35,54,54,29,23,25,21,227,2,11,1,0,5,245,1,4
3,3,63,0,0,0,0,26,12,13,10,2,0,0,0,0,0,157,155,66,89,0,0,13,43,99,1,0,1,154,0,0,5,13,30,24,20,18,45,151,1,1,2,0,0,155,0,1
3,3,22,0,0,1,0,6,2,2,9,1,0,0,0,0,1,16,15,3,12,0,0,0,8,7,0,0,0,0,15,0,1,1,2,3,2,1,5,13,0,1,0,0,1,15,0,0
1,2,151,0,0,0,0,18,16,44,19,43,9,1,1,0,0,439,406,169,237,0,7,57,130,212,342,265,77,11,53,16,26,51,60,49,67,65,72,184,27,164,7,6,18,405,1,0
3,5,34,1,1,5,1,5,1,7,7,3,1,0,2,0,0,37,36,11,25,0,0,7,18,11,1,0,1,15,20,0,7,3,4,6,3,5,8,18,1,8,0,0,9,35,1,0
1,1,643,0,1,1,5,62,40,56,70,136,110,72,65,13,12,951,949,399,550,0,7,51,116,775,937,806,131,12,0,8,67,150,223,183,138,105,75,38,6,13,0,0,892,928,21,1
3,5,9,0,0,3,0,0,1,2,1,1,1,0,0,0,0,30,30,16,14,0,0,13,13,4,9,0,9,21,0,5,8,4,8,1,2,1,1,20,0,5,0,0,5,30,0,0
